datetime,charging_mw,discharging_mw,net_output_mw
2024-01-06 16:00:00+00:00,-2167.241,568.871,-1598.3719999999998
2024-01-06 17:00:00+00:00,-2416.513,1088.839,-1327.6729999999998
2024-01-06 18:00:00+00:00,-4401.0380000000005,677.121,-3723.921
2024-01-06 19:00:00+00:00,-3154.583,648.6659999999999,-2505.918
2024-01-06 20:00:00+00:00,-6418.844,990.8199999999999,-5428.024
2024-01-06 21:00:00+00:00,-7688.312,726.512,-6961.801
2024-01-06 22:00:00+00:00,-1350.617,2008.964,658.347
2024-01-06 23:00:00+00:00,-779.958,3527.404,2747.448
2024-01-07 00:00:00+00:00,-318.789,4355.3369999999995,4036.546
2024-01-07 01:00:00+00:00,-541.222,5722.08,5180.859
2024-01-07 02:00:00+00:00,-1542.962,1930.8799999999999,387.92100000000005
2024-01-07 03:00:00+00:00,-862.809,1980.348,1117.538
2024-01-07 04:00:00+00:00,-864.405,2644.567,1780.161
2024-01-07 05:00:00+00:00,-1780.092,2802.967,1022.876
2024-01-07 06:00:00+00:00,-1366.994,5473.184,4106.1900000000005
2024-01-07 07:00:00+00:00,-2038.195,2883.73,845.534
2024-01-07 08:00:00+00:00,-2058.665,724.834,-1333.831
2024-01-07 09:00:00+00:00,-1818.952,2052.27,233.31900000000002
2024-01-07 10:00:00+00:00,-2312.151,1480.189,-831.961
2024-01-07 11:00:00+00:00,-3169.7780000000002,1558.238,-1611.539
2024-01-07 12:00:00+00:00,-3473.472,1234.1299999999999,-2239.342
2024-01-07 13:00:00+00:00,-1516.504,2292.043,775.541
2024-01-07 14:00:00+00:00,-3267.249,711.088,-2556.161
2024-01-07 15:00:00+00:00,-1792.195,2543.0769999999998,750.881
2024-01-07 16:00:00+00:00,-3356.0930000000003,1233.734,-2122.357
2024-01-07 17:00:00+00:00,-4683.058,650.563,-4032.494
2024-01-07 18:00:00+00:00,-6504.405,1218.379,-5286.024
2024-01-07 19:00:00+00:00,-6217.178,682.94,-5534.24
2024-01-07 20:00:00+00:00,-5079.805,461.199,-4618.606
2024-01-07 21:00:00+00:00,-4208.87,880.106,-3328.762
2024-01-07 22:00:00+00:00,-1674.114,3001.267,1327.152
2024-01-07 23:00:00+00:00,-939.054,2756.141,1817.0880000000002
2024-01-08 00:00:00+00:00,-964.381,4020.251,3055.869
2024-01-08 01:00:00+00:00,-413.466,3137.61,2724.143
2024-01-08 02:00:00+00:00,-515.827,2806.3559999999998,2290.53
2024-01-08 03:00:00+00:00,-1073.795,2148.989,1075.195
2024-01-08 04:00:00+00:00,-1221.219,1423.38,202.162
2024-01-08 05:00:00+00:00,-1527.274,1140.063,-387.21299999999997
2024-01-08 06:00:00+00:00,-1996.1399999999999,702.6949999999999,-1293.441
2024-01-08 07:00:00+00:00,-4508.301,486.378,-4021.922
2024-01-08 08:00:00+00:00,-4890.18,705.062,-4185.116
2024-01-08 09:00:00+00:00,-4248.599,652.932,-3595.666
2024-01-08 10:00:00+00:00,-3159.314,989.0889999999999,-2170.227
2024-01-08 11:00:00+00:00,-2035.921,1110.876,-925.0429999999999
2024-01-08 12:00:00+00:00,-1422.563,1668.9099999999999,246.34600000000006
2024-01-08 13:00:00+00:00,-508.149,3371.234,2863.083
2024-01-08 14:00:00+00:00,-474.353,3270.284,2795.929
2024-01-08 15:00:00+00:00,-1868.3880000000001,1438.702,-429.68600000000004
2024-01-08 16:00:00+00:00,-1296.942,1632.72,335.778
2024-01-08 17:00:00+00:00,-1949.279,1258.462,-690.815
2024-01-08 18:00:00+00:00,-2330.397,1395.15,-935.2470000000001
2024-01-08 19:00:00+00:00,-2261.255,1352.005,-909.249
2024-01-08 20:00:00+00:00,-3721.058,1021.63,-2699.427
2024-01-08 21:00:00+00:00,-2728.389,1260.109,-1468.279
2024-01-08 22:00:00+00:00,-2574.8379999999997,821.148,-1753.69
2024-01-08 23:00:00+00:00,-2042.1599999999999,2324.698,282.537
2024-01-09 00:00:00+00:00,-1108.834,2710.364,1601.53
2024-01-09 01:00:00+00:00,-1002.727,2235.673,1232.948
2024-01-09 02:00:00+00:00,-596.668,3578.738,2982.073
2024-01-09 03:00:00+00:00,-1325.859,1651.033,325.175
2024-01-09 04:00:00+00:00,-2291.438,514.724,-1776.713
2024-01-09 05:00:00+00:00,-1707.019,3749.3469999999998,2042.3280000000002
2024-01-09 06:00:00+00:00,-1731.925,1822.208,90.28099999999998
2024-01-09 07:00:00+00:00,-1579.348,1449.943,-129.405
2024-01-09 08:00:00+00:00,-1428.589,829.1120000000001,-599.479
